question,option_a,option_b,option_c,option_d,correct_answer,points
What is the output of print(type([]))?,<class 'list'>,<class 'tuple'>,<class 'dict'>,<class 'set'>,A,1
Which of the following is a valid variable name in Python?,2var,_var,var-name,var name,B,1
"What does len(""Python"") return?",5,6,7,Error,B,1
Which operator is used for exponentiation in Python?,^,**,%,//,B,1
What is the output of bool(0)?,TRUE,FALSE,None,0,B,1
What is the data type of None in Python?,int,str,NoneType,bool,C,1
Which of the following is immutable?,list,dict,set,tuple,D,1
"What does list(""abc"") return?",['abc'],"['a', 'b', 'c']","('a','b','c')","{'a','b','c'}",B,1
Which keyword is used to define a function in Python?,define,func,def,function,C,1
What will print(3 == 3.0) output?,TRUE,FALSE,Error,None,A,1
"What is the output of print(""Hello"" * 3)?",HelloHelloHello,Hello3,3Hello,Error,A,1
Which method adds an item to the end of a list?,insert(),add(),append(),extend(),C,1
How do you start a comment in Python?,//,<!--,#,/*,C,1
What is the output of print(10 // 3)?,3.33,3,4,Error,B,1
Which of the following creates a dictionary?,{},[],(),set(),A,1
What will print(type(range(5))) return?,<class 'list'>,<class 'tuple'>,<class 'range'>,<class 'iterator'>,C,1
How do you open a file for reading in Python?,open('file.txt'),"open('file.txt', 'r')","open('file.txt', 'w')","open('file.txt', 'rw')",B,1
Which statement is used to handle exceptions?,catch,try-except,try-catch,error-handling,B,1
"What will print(bool(""False"")) output?",TRUE,FALSE,None,Error,A,1
Which function converts a string to lowercase?,lowercase(),tolower(),lower(),downcase(),C,1
